,description,category,amount,time,source,title,amount_without_iof,account,id,tokenized,href,details.status,details.subcategory,_links.self.href,details.tags,details.charges.count,details.charges.amount,details.lat,details.lon,details.fx.currency_origin,details.fx.amount_origin,details.fx.amount_usd,details.fx.precise_amount_origin,details.fx.precise_amount_usd,details.fx.exchange_rate
340,Pg *Nexo Jornal*Nexo,transaction,1200,2020-05-22T07:03:31Z,upfront_national,serviços,1200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ec77944-ebb1-44e6-9c77-5802f5b56289,,nuapp://transaction/5ec77944-ebb1-44e6-9c77-5802f5b56289,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ec77944-ebb1-44e6-9c77-5802f5b56289,,,,-23.6955443,-46.8322377,,,,,,
341,E3 Comercio de Artigos,transaction,47833,2020-05-13T17:57:44Z,upfront_national,saúde,47833.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ebc3519-866b-4d0a-855c-dd31056c81db,,nuapp://transaction/5ebc3519-866b-4d0a-855c-dd31056c81db,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ebc3519-866b-4d0a-855c-dd31056c81db,,,,-23.6951887,-46.8289168,,,,,,
342,Paypal *Resume Io,transaction,17145,2020-05-11T11:40:44Z,upfront_foreign,serviços,16117.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5eb939bd-090d-4125-95e1-1828e89cf499,,nuapp://transaction/5eb939bd-090d-4125-95e1-1828e89cf499,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5eb939bd-090d-4125-95e1-1828e89cf499,,,,-23.6967661,-46.8396646,BRL,15485.0,2674.0,154.85,26.74,6.027299925205685
343,Paypal *Resume Io,transaction,1883,2020-05-04T15:01:07Z,upfront_foreign,serviços,1770.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5eb02e34-b191-427c-90e5-0d0383daa4c0,,nuapp://transaction/5eb02e34-b191-427c-90e5-0d0383daa4c0,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5eb02e34-b191-427c-90e5-0d0383daa4c0,,,,,,BRL,1686.0,305.0,16.86,3.05,5.80327868852459
344,Netflix.Com,transaction,4590,2020-04-28T21:51:44Z,upfront_national,serviços,4590.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ea8a570-c1a3-4120-97c7-3b182bd9c162,,nuapp://transaction/5ea8a570-c1a3-4120-97c7-3b182bd9c162,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ea8a570-c1a3-4120-97c7-3b182bd9c162,,,,-23.6955689,-46.8321651,,,,,,
345,Linkedin 5507820934 Ln,transaction,5600,2020-04-22T11:25:15Z,upfront_foreign,outros,5264.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ea0299b-b1a9-48f0-82fe-9e5256c62f0d,,nuapp://transaction/5ea0299b-b1a9-48f0-82fe-9e5256c62f0d,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ea0299b-b1a9-48f0-82fe-9e5256c62f0d,,,,,,USD,940.0,940.0,9.4,9.4,5.6
346,Pg *Nexo Jornal*Nexo,transaction,1200,2020-04-22T11:24:43Z,upfront_national,serviços,1200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ea0297c-a8ad-40cb-8548-06caeda5283f,,nuapp://transaction/5ea0297c-a8ad-40cb-8548-06caeda5283f,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ea0297c-a8ad-40cb-8548-06caeda5283f,,,,,,,,,,,
347,Drogaria Sao Paulo,transaction,3098,2020-04-09T18:30:17Z,upfront_national,saúde,3098.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5e8f69b9-f883-41ab-9bd7-4e5c4a4c9d8f,,nuapp://transaction/5e8f69b9-f883-41ab-9bd7-4e5c4a4c9d8f,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/5e8f69b9-f883-41ab-9bd7-4e5c4a4c9d8f,,,,-23.5653841,-46.7513316,,,,,,
348,Extra Facil Ri,transaction,2505,2020-04-09T18:26:32Z,upfront_national,supermercado,2505.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5e8f68d8-7177-4add-8491-cc79f8a12f71,,nuapp://transaction/5e8f68d8-7177-4add-8491-cc79f8a12f71,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/5e8f68d8-7177-4add-8491-cc79f8a12f71,,,,-23.5653841,-46.7513316,,,,,,
349,Google Headspace Inc,transaction,10999,2020-04-07T00:59:12Z,upfront_national,outros,10999.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5e8bd061-08c2-4ae3-8520-06397f2ffd85,,nuapp://transaction/5e8bd061-08c2-4ae3-8520-06397f2ffd85,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5e8bd061-08c2-4ae3-8520-06397f2ffd85,,,,-23.6928041,-46.8323708,,,,,,
350,Zoop Te*Ifood,transaction,4579,2020-03-27T20:17:08Z,upfront_national,restaurante,4579.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5e7e5f45-9926-4dca-9b00-682686be8179,,nuapp://transaction/5e7e5f45-9926-4dca-9b00-682686be8179,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/5e7e5f45-9926-4dca-9b00-682686be8179,,,,,,,,,,,
